wpi,port,country,size,type,tidal_range,entrance_width,channel_depth,latitude,longitude
1714,Arnold's Cove,Canada,Small,Coastal (Natural),0.0,0.0,0.0,47.764799042999996,-53.981065504000000
1750,Port De St Pierre,Saint Pierre and Miquelon,Small,Coastal (Breakwater),1.5,0.0,7.9,46.783332999999999,-56.166666999999997
1955,Sept Iles,Canada,Medium,River (Natural),10.0,0.0,11.0,50.200000000000003,-66.383332999999993
2110,La Baie (Port Alfred),Canada,Small,River (Natural),6.0,0.0,9.4,48.333333000000003,-70.883332999999993
2145,Ile du Gros Cacouna,Canada,Small,River (Natural),0.0,0.0,0.0,47.933333333000000,-69.500000000000000
2380,Grenville,Canada,Very Small,River (Natural),0.0,0.0,1.8,45.633333000000000,-74.599999999999994
2530,Hull,Canada,Very Small,River (Natural),0.0,0.0,1.8,45.433332999999998,-75.700000000000003
3340,Pelee I West Dock,Canada,Very Small,Open Roadstead,0.0,0.0,3.4,41.766666999999998,-82.683333000000005
3440,Dunkirk,United States,Very Small,Coastal (Breakwater),0.0,0.0,1.8,42.483333000000002,-79.333332999999996
3450,Erie,United States,Small,Coastal (Natural),0.0,0.0,7.9,42.149999999999999,-80.099999999999994
3550,Put In Bay,United States,Very Small,Coastal (Natural),0.0,0.0,1.8,41.649999999999999,-82.816666999999995
3710,Point Edward,Canada,Small,River (Natural),0.0,0.0,6.4,43.000000000000000,-82.416667000000004
3760,Southampton,Canada,Very Small,Coastal (Breakwater),0.0,0.0,1.8,44.500000000000000,-81.383332999999993
4710,Holland,United States,Small,River (Natural),0.0,0.0,6.4,42.783332999999999,-86.133332999999993
4820,Great Lakes,United States,Very Small,Coastal (Breakwater),0.0,0.0,3.4,42.299999999999997,-87.833332999999996
5310,L Anse,United States,Very Small,Coastal (Natural),0.0,0.0,4.9,46.766666999999998,-88.466667000000001
5420,La Pointe,United States,Very Small,Coastal (Natural),0.0,0.0,1.8,46.783332999999999,-90.783332999999999
5700,Havre Aubert,Canada,Medium,Coastal (Natural),0.0,0.0,0.0,47.233333332999997,-61.833333332999999
5870,Port Hawkesbury,Canada,Very Small,Coastal (Natural),2.0,0.0,4.9,45.616667000000000,-61.366667000000000
6340,Halifax,Canada,Large,Coastal (Natural),2.0,0.0,20.1,44.649999999999999,-63.583333000000003
6660,Milbridge,United States,Very Small,River (Natural),3.4,0.0,1.8,44.533332999999999,-67.883332999999993
6670,Corea,United States,Very Small,Coastal (Natural),3.4,0.0,1.8,44.399999999999999,-67.966667000000001
6920,Belfast,United States,Very Small,River (Natural),3.0,0.0,3.4,44.416666999999997,-69.000000000000000
7150,Portland,United States,Medium,Coastal (Natural),2.7,0.0,9.4,43.666666999999997,-70.250000000000000
7250,Boston,United States,Large,Coastal (Natural),3.0,0.0,11.0,42.350000000000001,-71.049999999999997
7320,Falmouth,United States,Very Small,Coastal (Natural),0.3,0.0,1.8,41.549999999999997,-70.616667000000007
7410,Bristol,United States,Very Small,Coastal (Natural),1.2,0.0,6.4,41.666666999999997,-71.266666999999998
7420,Providence,United States,Medium,River (Natural),1.2,0.0,11.0,41.799999999999997,-71.400000000000006
8050,Wilmington,United States,Medium,River (Natural),1.8,0.0,6.4,39.733333000000002,-75.549999999999997
8070,Marcus Hook,United States,Small,River (Natural),1.8,0.0,11.0,39.816667000000002,-75.416667000000004
8210,Baltimore,United States,Large,River (Natural),0.3,0.0,14.0,39.266666999999998,-76.583332999999996
8240,Alexandria,United States,Small,River (Natural),0.9,0.0,6.4,38.799999999999997,-77.033332999999999
8370,Columbia,United States,Very Small,River (Natural),0.0,0.0,3.4,35.916666999999997,-76.250000000000000
8380,Belhaven,United States,Very Small,River (Natural),0.0,0.0,1.8,35.616667000000000,-76.616667000000007
8660,Key West,United States,Small,Coastal (Natural),0.3,0.0,9.4,24.550000000000001,-81.816666999999995
8670,Tampa,United States,Medium,Coastal (Natural),0.6,0.0,12.5,27.916667000000000,-82.450000000000003
8770,Mobile,United States,Large,River (Natural),0.6,0.0,11.0,30.683333000000001,-88.116667000000007
8850,Gretna,United States,Very Small,River (Natural),0.0,0.0,9.4,29.916667000000000,-90.066666999999995
8860,New Orleans,United States,Large,River (Natural),0.0,0.0,11.0,29.949999999999999,-90.049999999999997
9080,Port Arthur,United States,Medium,Canal or Lake,0.6,0.0,11.0,29.833333000000000,-93.966667000000001
9240,Houston,United States,Large,River (Tide Gates),0.0,0.0,14.0,29.750000000000000,-95.283332999999999
9250,Freeport,United States,Very Small,River (Natural),0.0,0.0,11.0,28.949999999999999,-95.333332999999996
9355,Altamira,Mexico,Very Small,River (Basins),0.6,0.0,12.5,22.483332999999998,-97.849999999999994
9370,Tuxpan,Mexico,Medium,River (Natural),0.5,0.0,3.4,20.949999999999999,-97.400000000000006
9380,Veracruz,Mexico,Medium,Coastal (Breakwater),0.6,0.0,14.0,19.199999999999999,-96.133332999999993
9598,Big Creek,Belize,Small,Coastal (Natural),0.0,120.0,11.0,16.516666666999999,-88.400000000000006
9960,Hamilton,Bermuda,Small,Coastal (Natural),1.5,0.0,7.9,32.299999999999997,-64.783332999999999
10100,Bahai De La Habana,Cuba,Large,Coastal (Breakwater),0.4,0.0,12.5,23.133333000000000,-82.366667000000007
11110,San Juan,Puerto Rico,Small,Open Roadstead,0.0,0.0,9.4,18.466667000000001,-66.116667000000007
11205,Puerto Yabucoa,Puerto Rico,Very Small,Open Roadstead,0.3,0.0,14.0,18.050000000000001,-65.833332999999996
11625,Grand Cul De Sac Bay,Saint Lucia,Small,Coastal (Natural),0.0,0.0,23.2,13.983333000000000,-61.016666999999998
11940,Santa Marta,Colombia,Small,Coastal (Natural),1.0,0.0,23.2,11.250000000000000,-74.216667000000001
11946,Puerto Bolivar,Colombia,Small,Coastal (Breakwater),1.0,0.0,9.4,12.250000000000000,-71.966667000000001
12185,Puerto La Cruz,Venezuela,Large,Open Roadstead,0.0,0.0,7.9,10.250000000000000,-64.633332999999993
12510,Santarem,Brazil,Very Small,Typhoon Harbor,2.0,0.0,9.4,-2.416667000000000,-54.716667000000001
12540,Itacoatiara,Brazil,Very Small,River (Natural),0.0,0.0,11.0,-3.150000000000000,-58.450000000000003
12585,Itaqui,Brazil,Small,Coastal (Natural),7.0,0.0,15.5,-2.566667000000000,-44.366667000000000
12730,Recife,Brazil,Medium,Coastal (Breakwater),2.6,0.0,9.7,-8.050000000000001,-34.866667000000000
12772,Aratu,Brazil,Small,Open Roadstead,3.0,0.0,17.1,-12.783333000000001,-38.500000000000000
12775,Madre De Deus,Brazil,Very Small,Open Roadstead,2.0,0.0,11.0,-12.750000000000000,-38.616667000000000
12850,Vitoria,Brazil,Medium,River (Natural),1.0,0.0,9.4,-20.316666999999999,-40.333333000000003
12970,Santos,Brazil,Large,Coastal (Natural),1.0,0.0,12.5,-23.949999999999999,-46.299999999999997
13000,Sao Francisco,Brazil,Small,River (Natural),2.0,0.0,11.0,-26.250000000000000,-48.633333000000000
13120,Montevideo,Uruguay,Medium,Coastal (Breakwater),1.0,0.0,11.0,-34.899999999999999,-56.216667000000001
13970,Rio Grande,Argentina,Very Small,River (Natural),6.0,0.0,0.0,-53.783332999999999,-67.683333000000005
15410,Balboa,Panama,Medium,Canal or Lake,5.0,182.9,12.5,8.949999999999999,-79.566666999999995
15915,San Juan De La Costa,Mexico,Very Small,Open Roadstead,2.0,0.0,0.0,24.399999999999999,-110.700000000000003
16310,Yerbabuena Island,United States,Very Small,Coastal (Natural),1.2,0.0,6.4,37.816667000000002,-122.366667000000007
18850,Sointula,Canada,Very Small,Coastal (Natural),3.0,0.0,23.2,50.633333000000000,-127.016666999999998
19300,Petersburg,United States,Small,Coastal (Natural),4.3,0.0,6.4,56.816667000000002,-132.949999999999989
19585,Port Chilkoot,United States,Very Small,Coastal (Natural),2.7,0.0,0.0,59.233333000000002,-135.433333000000005
20160,Kiska,United States,Very Small,Coastal (Natural),0.9,0.0,21.6,51.966667000000001,177.550000000000011
20220,Pilot Point,United States,Very Small,Coastal (Natural),0.0,0.0,0.0,57.566667000000002,-157.599999999999994
21130,Alta,Norway,Very Small,Coastal (Natural),3.0,0.0,0.0,69.973333332999999,23.235277778000000
23020,Berg,Norway,Very Small,Coastal (Natural),0.0,0.0,4.9,65.365277778000006,12.196666667000001
23120,Alesund,Norway,Small,Coastal (Breakwater),2.0,0.0,4.9,62.466667000000001,6.166667000000000
23138,Mongstad,Norway,Medium,Open Roadstead,7.0,0.0,23.2,60.830833333000001,5.036666667000000
23140,Vaksdal,Norway,Small,River (Natural),0.0,0.0,23.2,60.478333333000002,5.732777778000000
23480,Stavanger,Norway,Medium,Coastal (Breakwater),1.0,0.0,23.2,58.966667000000001,5.750000000000000
23670,Porsgrunn,Norway,Small,River (Natural),1.0,0.0,7.9,59.147222222000003,9.653888888999999
23680,Skien,Norway,Small,River (Natural),1.0,0.0,6.4,59.199722221999998,9.603611110999999
24210,Malmo,Sweden,Large,Coastal (Breakwater),0.0,0.0,7.9,55.623333332999998,12.984722222000000
24690,Oskarshamn,Sweden,Small,Coastal (Natural),0.0,0.0,6.4,57.266666999999998,16.449999999999999
27400,Tornio,Finland,Small,River (Natural),0.0,0.0,7.9,65.766666999999998,24.166667000000000
27560,Kokkola,Finland,Large,Coastal (Natural),1.0,0.0,4.9,63.850000000000001,23.016667000000002
28240,Hamina,Finland,Small,Coastal (Natural),0.0,0.0,7.9,60.566667000000002,27.199999999999999
28300,Vyborg,Russia,Medium,Coastal (Natural),2.0,0.0,6.4,60.716667000000001,28.750000000000000
28360,Primorsk,Russia,Very Small,Open Roadstead,0.0,0.0,20.1,60.366667000000000,28.633333000000000
28410,Ust Luga,Russia,Very Small,River (Natural),0.0,0.0,3.4,59.666666999999997,28.316666999999999
28480,Vanasadam - Port of Tallinn,Estonia,Large,Coastal (Breakwater),0.0,0.0,13.0,59.450127999999999,24.766676000000000
28660,Klaipeda,Lithuania,Medium,River (Natural),1.0,0.0,15.0,55.716667000000001,21.116667000000000
28690,Kaliningrad,Russia,Medium,River (Basins),0.0,0.0,7.9,54.700000000000003,20.483332999999998
28710,Gdansk,Poland,Large,Canal or Lake,0.0,0.0,6.4,54.350000000000001,18.666667000000000
28740,Gdynia,Poland,Large,Coastal (Breakwater),0.0,0.0,14.0,54.533332999999999,18.550000000000001
28750,Police,Poland,Small,Coastal (Natural),0.0,0.0,9.4,53.566667000000002,14.566667000000001
28820,Swinoujscie,Poland,Small,River (Natural),2.0,0.0,14.0,53.916666999999997,14.266667000000000
28823,Szczecin,Poland,Medium,River (Natural),0.0,0.0,7.9,53.416666999999997,14.550000000000001
28860,Rostock,Germany,Large,River (Natural),1.0,0.0,7.9,54.100000000000001,12.133333000000000
28870,Wismar,Germany,Small,Coastal (Natural),3.0,0.0,9.4,53.899999999999999,11.466666999999999
28912,Orth,Germany,Very Small,Coastal (Breakwater),0.0,0.0,1.8,54.450000000000003,11.050000000000001
28930,Kiel,Germany,Large,River (Basins),0.0,0.0,11.0,54.316667000000002,10.133333000000000
28950,Eckernforde,Germany,Small,River (Basins),1.0,0.0,6.4,54.483333000000002,9.833333000000000
